name,abbreviation,staff_tests,staff_tests_with_multiples,total_staff_cases,staff_recovered,total_staff_deaths,staff_partial_dose,staff_full_dose,prisoner_tests,prisoner_tests_with_multiples,total_prisoner_cases,prisoners_recovered,total_prisoner_deaths,prisoners_partial_dose,prisoners_full_dose,as_of_date,notes
Alabama,AL,,,291,166,2,,,736,,199,114,15,,,07/28/2020,
Alaska,AK,,,15,,0,,,,2345,17,2,0,,,07/28/2020,
Arizona,AZ,,,520,441,,,,5227,,824,397,16,,,07/28/2020,
Arkansas,AR,2878,,309,221,1,,,8763,,3851,2980,27,,,07/28/2020,The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count.
California,CA,,,1665,689,3,,,65843,,7706,5790,47,,,07/28/2020,
Colorado,CO,,,91,78,0,,,7968,16452,841,691,3,,,07/28/2020,
Connecticut,CT,,4900,386,378,0,,,,10840,1401,1330,7,,,07/28/2020,
Delaware,DE,,,155,106,1,,,,,528,444,8,,,07/29/2020,
Florida,FL,,,1486,,,,,,45885,6946,,46,,,07/28/2020,
Georgia,GA,,,442,251,1,,,,,886,754,31,,,07/28/2020,"For most weeks prior to Sept. 15, the prisoner cases and recoveries for Georgia inadvertently counted some cases in private prisons and county facilities twice. These figures have been corrected throughout."
Hawaii,HI,,,0,0,0,,,131,,0,0,0,,,07/28/2020,
Idaho,ID,861,,90,65,0,,,1965,,772,477,0,,,07/28/2020,
Illinois,IL,,,267,210,0,,,2185,,360,332,13,,,07/28/2020,
Indiana,IN,1393,,306,279,2,,,2320,,706,694,20,,,07/28/2020,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,63,40,0,,,,5853,375,313,3,,,07/28/2020,The prisoner case total has been updated to include the 3 deaths reported this week.
Kansas,KS,,,128,118,3,,,,3957,925,910,4,,,07/29/2020,Staff cases and prisoner tests were later revised to exclude a juvenile facility administered by the corrections department.
Kentucky,KY,,,120,,0,,,,,807,,8,,,07/28/2020,
Louisiana,LA,1329,,295,204,5,,,2151,,833,601,17,,,07/28/2020,
Maine,ME,,,1,1,0,,,1262,,4,4,0,,,07/28/2020,
Maryland,MD,6826,,479,426,1,,,18883,,641,616,8,,,07/27/2020,
Massachusetts,MA,,,194,168,0,,,8601,,418,381,8,,,07/29/2020,On Aug. 27 we changed our Massachusetts data source to the Massachusetts Supreme Judicial Court. The previous dataset from the Department of Corrections excluded prisoner releases and staff recoveries. All data beginning with April 22 onward has been updated to use SJC figures.
Michigan,MI,,,411,368,3,,,37244,,3877,3586,68,,,07/28/2020,
Minnesota,MN,,,75,75,0,,,,24619,461,383,2,,,07/28/2020,
Mississippi,MS,283,,80,,,,,386,,114,,,,,07/27/2020,
Missouri,MO,,,125,60,0,,,19483,,521,179,1,,,07/28/2020,Missouri's total cases omitted deaths and has been updated.
Montana,MT,466,,8,,0,,,1924,,13,,0,,,07/29/2020,Montana revised its number of staff tests after we pointed out a mistake in the figure. It has been corrected here. This week's number of prisoner cases was also incorrectly logged and has been fixed.
Nebraska,NE,,,,,0,,,935,,8,8,0,,,07/24/2020,
Nevada,NV,,,66,29,0,,,,,22,20,0,,,07/28/2020,
New Hampshire,NH,,,11,11,0,,,52,,1,1,0,,,07/28/2020,
New Jersey,NJ,,,781,,,,,,,2892,,49,,,07/28/2020,
New Mexico,NM,5862,,50,13,0,,,9041,,500,438,4,,,07/28/2020,
New York,NY,,,1308,1257,5,,,5830,,604,537,17,,,07/28/2020,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
North Carolina,NC,,,356,269,1,,,26330,,1407,888,8,,,07/28/2020,
North Dakota,ND,617,1073,8,7,0,,,1699,2486,8,7,0,,,07/28/2020,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
Ohio,OH,,,940,798,5,,,19101,,5195,4300,84,,,07/28/2020,"After reviewing death certificates, Ohio later revised its number of confirmed deaths in several facilities including Chillicothe Correctional Institution, Belmont and Pickaway."
Oklahoma,OK,,,58,,0,,,,5994,117,12,0,,,07/28/2020,The number of tests conducted was mistakenly placed in the column for people tested. This has been updated.
Oregon,OR,,,109,51,0,,,,2298,412,317,1,,,07/28/2020,"The number of tests conducted had been in the wrong column, for the number of prisoners tested, and has been corrected."
Pennsylvania,PA,1129,,216,183,1,,,7999,,274,237,10,,,07/28/2020,"The number of prisoner cases this week inadvertently included those on parole, and has been updated to remove those cases."
Rhode Island,RI,,,48,,0,,,,,22,,0,,,07/28/2020,Backfilled deaths based on info from Rhode Island on 11/4/20
South Carolina,SC,,,263,158,1,,,2376,,786,214,9,,,07/29/2020,
South Dakota,SD,67,,6,5,0,,,133,,5,4,0,,,07/28/2020,
Tennessee,TN,,,158,112,0,,,,23477,3213,3185,5,,,07/28/2020,"Tennessee later revised the number of prisoner tests conducted, and the number has been adjusted here accordingly."
Texas,TX,,50607,3213,1860,14,,,,161371,15241,10686,152,,,07/28/2020,"We have revised this week's prisoner deaths totals based on data from the Texas Justice Initiative. Texas' testing numbers may include multiple tests of a single prisoner or staff member and have been moved to the _with_multiples column. In November, Texas re-classified several deaths that had been presumed to be connectedto coronavirus as unrelated to COVID. We have adjusted our death totals accordingly."
Utah,UT,,,4,4,0,,,,796,41,15,0,,,07/29/2020,The number of tests conducted was mistakenly placed in the column for the total number of people tested. This has been updated.
Vermont,VT,,1309,20,19,0,,,1492,2919,48,46,0,,,07/28/2020,
Virginia,VA,,,478,346,0,,,28590,,1876,1484,13,,,07/29/2020,
Washington,WA,,,123,,1,,,3209,3375,315,200,2,,,07/28/2020,
West Virginia,WV,,4391,26,25,0,,,,5172,126,126,0,,,07/28/2020,"Until early November, West Virginia’s Department of Corrections and Rehabilitation reported staff cases for juvenile facilities and jails combined with prisons and work release. After they began providing itemized numbers on staff cases on Nov. 3, we only included staff numbers from prisons and work release sites in our data releases. In our online tracker, we have gone back to the past weeks of data and estimated the staff breakdown based on the overall size of the staff for each sector."
Wisconsin,WI,,,115,94,0,,,,25251,299,293,0,,,07/28/2020,
Wyoming,WY,,,11,0,0,,,1475,,15,0,0,,,07/28/2020,
Federal,US,,,1142,681,1,,,36226,,10779,6870,105,,,07/28/2020,
Alabama,AL,,,269,151,2,,,664,,165,41,14,,,07/22/2020,
Alaska,AK,,,12,,0,,,,2168,16,2,0,,,07/22/2020,
Arizona,AZ,,,439,370,,,,4905,,684,376,13,,,07/21/2020,
Arkansas,AR,2378,,259,214,1,,,8583,,3789,2945,25,,,07/21/2020,The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count.
California,CA,,,1486,616,3,,,59808,,7066,4940,40,,,07/21/2020,
Colorado,CO,,,73,63,0,,,7386,13723,783,628,3,,,07/21/2020,
Connecticut,CT,976,,383,377,0,,,10016,,1344,1324,7,,,07/21/2020,
Delaware,DE,,,153,92,1,,,,,508,391,7,,,07/22/2020,
Florida,FL,,,1113,,,,,,38427,3898,,34,,,07/21/2020,
Georgia,GA,,,361,216,1,,,,,847,685,26,,,07/21/2020,"For most weeks prior to Sept. 15, the prisoner cases and recoveries for Georgia inadvertently counted some cases in private prisons and county facilities twice. These figures have been corrected throughout."
Hawaii,HI,,,0,0,0,,,119,,0,0,0,,,07/21/2020,
Idaho,ID,658,,86,47,0,,,1818,1884,763,100,0,,,07/21/2020,
Illinois,IL,,,237,198,0,,,1800,,343,307,13,,,07/21/2020,
Indiana,IN,1352,,304,276,2,,,2112,,703,690,20,,,07/21/2020,"Staff tests and cases and prisoners tests and cases were later revised to exclude three juvenile facilities administered by the corrections department. Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,61,32,0,,,,5096,334,208,1,,,07/21/2020,The prisoner case total has been updated to include the 1 death reported this week.
Kansas,KS,,,121,113,2,,,,3027,911,906,4,,,07/22/2020,Staff cases and prisoner tests were later revised to exclude a juvenile facility administered by the corrections department.
Kentucky,KY,,,108,,0,,,,,770,,6,,,07/20/2020,
Louisiana,LA,1182,,262,184,4,,,1845,,713,576,16,,,07/21/2020,
Maine,ME,,,1,1,0,,,1192,,4,4,0,,,07/21/2020,This week's data incorrectly listed 4 staff deaths in Maine. It has been corrected.
Maryland,MD,,6777,465,425,1,,,18844,,637,538,8,,,07/20/2020,
Massachusetts,MA,,,194,167,0,,,8562,,417,381,8,,,07/22/2020,On Aug. 27 we changed our Massachusetts data source to the Massachusetts Supreme Judicial Court. The previous dataset from the Department of Corrections excluded prisoner releases and staff recoveries. All data beginning with April 22 onward has been updated to use SJC figures.
Michigan,MI,,,397,348,3,,,37189,,3870,3585,68,,,07/21/2020,"Michigan said it has been auditing its testing numbers to ensure they are counting unique prisoners and not total number of tests, and thus adjusted their figures downward this week. They said they have finished their audit and don't anticipate future such adjustments."
Minnesota,MN,,,71,70,0,,,19993,,391,308,2,,,07/20/2020,
Mississippi,MS,,282,73,,,,,,463,105,,,,,07/21/2020,
Missouri,MO,,,113,47,0,,,17907,,396,148,1,,,07/21/2020,Missouri's total cases omitted deaths and has been updated.
Montana,MT,458,,5,,0,,,1886,,13,,0,,,07/21/2020,The number of prisoner and staff cases and tests were later revised to exclude the Pine Hill juvenile facility.
Nebraska,NE,,,29,20,,,,928,,8,8,0,,,07/17/2020,
Nevada,NV,,,55,27,0,,,,,19,17,0,,,07/21/2020,The prisoner cases were updated with one additional case of someone who tested positive before entering the system.
New Hampshire,NH,,,11,11,0,,,49,,1,1,0,,,07/21/2020,
New Jersey,NJ,,,781,,,,,,,2892,,49,,,07/21/2020,
New Mexico,NM,5389,,45,12,0,,,8101,,485,383,4,,,07/22/2020,
New York,NY,,,1307,,5,,,5371,,601,524,16,,,07/23/2020,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
North Carolina,NC,3009,,295,229,1,,,,17382,1086,855,5,,,07/22/2020,
North Dakota,ND,616,1048,7,4,0,,,1689,2459,7,7,0,,,07/21/2020,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
Ohio,OH,,,905,780,5,,,17941,,5132,4263,84,,,07/21/2020,"After reviewing death certificates, Ohio later revised its number of confirmed deaths in several facilities including Chillicothe Correctional Institution, Belmont and Pickaway."
Oklahoma,OK,,,37,,0,,,,4928,14,9,0,,,07/21/2020,The number of tests conducted was mistakenly placed in the column for people tested. This has been updated.
Oregon,OR,,,97,49,0,,,,1964,331,166,1,,,07/21/2020,"The number of tests conducted had been in the wrong column, for the number of prisoners tested, and has been corrected."
Pennsylvania,PA,1073,,210,168,1,,,7504,,267,237,10,,,07/21/2020,The number of prisoner cases and tests were later revised to exclude those who tested positive while released on parole.
Rhode Island,RI,,,29,,0,,,,,21,,0,,,07/23/2020,
South Carolina,SC,,,231,112,1,,,1871,,651,155,8,,,07/21/2020,
South Dakota,SD,67,,6,5,0,,,131,,4,4,0,,,07/21/2020,
Tennessee,TN,4865,4905,133,102,0,,,,23438,3195,3183,4,,,07/21/2020,The number we had originally been given for Tennessee's staff tests were total tests rather than unique people tested. We've now updated the number with new figures from the Department of Corrections.
Texas,TX,,46150,2801,1562,11,,,,147971,13454,9963,137,,,07/21/2020,We have revised this week's prisoner deaths totals based on data from the Texas Justice Initiative. Texas' testing numbers may include multiple tests of a single prisoner or staff member and have been moved to the _with_multiples column.
Utah,UT,,,4,4,0,,,,687,38,14,0,,,07/20/2020,The number of tests conducted was mistakenly placed in the column for the total number of people tested. This has been updated.
Vermont,VT,,,20,19,0,,,1451,2778,48,45,0,,,07/21/2020,
Virginia,VA,,,435,322,0,,,25567,,1821,1472,13,,,07/21/2020,
Washington,WA,,,111,,1,,,,3026,303,,2,,,07/21/2020,
West Virginia,WV,,4334,25,23,0,,,,5162,126,126,0,,,07/21/2020,"This week's number inadvertently included one case from a jail and has been updated. Until early November, West Virginia’s Department of Corrections and Rehabilitation reported staff cases for juvenile facilities and jails combined with prisons and work release. After they began providing itemized numbers on staff cases on Nov. 3, we only included staff numbers from prisons and work release sites in our data releases. In our online tracker, we have gone back to the past weeks of data and estimated the staff breakdown based on the overall size of the staff for each sector."
Wisconsin,WI,,,93,82,0,,,,24717,296,286,0,,,07/21/2020,
Wyoming,WY,380,,8,0,0,,,864,,3,0,0,,,07/22/2020,
Federal,US,,,995,644,1,,,33336,,10154,5797,102,,,07/21/2020,
Alabama,AL,568,,220,131,2,,,,,138,29,12,,,07/14/2020,
Alaska,AK,,,12,,0,,,,1593,2,2,0,,,07/14/2020,
Arizona,AZ,,,371,262,,,,4496,,569,255,13,,,07/14/2020,
Arkansas,AR,2378,,259,214,1,,,7777,,3482,2295,16,,,07/14/2020,The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count.
California,CA,,,1291,536,3,,,52389,,6458,3897,35,,,07/14/2020,
Colorado,CO,,,67,58,0,,,6579,11642,668,627,3,,,07/14/2020,
Connecticut,CT,974,,382,377,0,,,10014,,1343,1324,7,,,07/14/2020,"Connecticut's prisoner cases dropped by 3 to 1,343, and the number of prisoners tested and recovered also dropped this week. The state said, ""Please note that a recent internal audit/review of the our data found some duplicate information, and as a result the numbers for both 'positive offenders' and also for the number of offenders 'recovered' went down a bit."""
Delaware,DE,,,118,87,1,,,,,295,141,7,,,07/10/2020,Delaware's total cases this week originally did not include deaths and has been adjusted accordingly.
Florida,FL,,,885,,,,,,28471,2632,,29,,,07/14/2020,
Georgia,GA,,,301,190,1,,,,,806,489,25,,,07/14/2020,"For most weeks prior to Sept. 15, the prisoner cases and recoveries for Georgia inadvertently counted some cases in private prisons and county facilities twice. These figures have been corrected throughout."
Hawaii,HI,,,0,0,0,,,70,,0,0,0,,,07/14/2020,
Idaho,ID,407,,68,27,0,,,,1624,694,9,0,,,07/14/2020,
Illinois,IL,,,214,180,0,,,1600,,337,278,13,,,07/14/2020,
Indiana,IN,1307,,299,263,2,,,2033,,702,687,20,,,07/14/2020,"Staff tests and cases and prisoners tests and cases were later revised to exclude three juvenile facilities administered by the corrections department. Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,51,25,0,,,4004,,225,35,1,,,07/14/2020,Staff deaths backfilled from later weeks' data. The prisoner case total has been updated to include the 1 death reported this week.
Kansas,KS,,,112,112,2,,,,2792,910,906,4,,,07/15/2020,Kansas' staff cases was incorrect originally. This number has been updated. Staff cases and prisoner tests were later revised to exclude a juvenile facility administered by the corrections department.
Kentucky,KY,,,83,,0,,,,,624,,4,,,07/14/2020,
Louisiana,LA,1033,,234,174,3,,,1640,,663,572,16,,,07/14/2020,Louisiana later revised its staff testing numbers for this week after providing the wrong figure.
Maine,ME,,,1,1,0,,,1147,,4,4,0,,,07/14/2020,
Maryland,MD,,6713,452,382,1,,,18740,,628,401,8,,,07/13/2020,The number of prisoners tested dropped by 184 this week. We are inquiring why the numbers fell so steeply.
Massachusetts,MA,,,194,165,0,,,8473,,417,380,8,,,07/15/2020,On Aug. 27 we changed our Massachusetts data source to the Massachusetts Supreme Judicial Court. The previous dataset from the Department of Corrections excluded prisoner releases and staff recoveries. All data beginning with April 22 onward has been updated to use SJC figures.
Michigan,MI,,,385,347,3,,,37627,,3801,3076,68,,,07/14/2020,"Michigan's prisoner test numbers fell by 717 and cases dropped by 219. ""Our Bureau of Health Care Services has been conducting an audit of cases to make sure only unique positives and negatives were reported. They found some duplicates that needed to be removed, so that cause numbers to drop."""
Minnesota,MN,,,67,,0,,,,18062,390,296,2,,,07/14/2020,
Mississippi,MS,,,,,,,,,,86,,,,,07/14/2020,
Missouri,MO,,,83,38,0,,,15527,,246,101,1,,,07/14/2020,Missouri's total cases omitted deaths and has been updated.
Montana,MT,458,,3,,0,,,1886,,11,,,,,07/14/2020,The number of prisoner and staff cases and tests were later revised to exclude the Pine Hill juvenile facility.
Nebraska,NE,,,23,20,,,,898,,8,8,0,,,07/10/2020,
Nevada,NV,2648,,49,27,0,,,12368,,18,17,0,,,07/15/2020,
New Hampshire,NH,,,11,11,0,,,43,,1,1,0,,,07/10/2020,
New Jersey,NJ,,,781,762,,,,,,2892,,49,,,07/14/2020,
New Mexico,NM,4363,,33,10,0,,,7220,,467,381,4,,,07/14/2020,
New York,NY,,,1300,1253,5,,,4055,,545,495,16,,,07/10/2020,The number of prisoners and staff recovered dropped by 1 each this week. We have not yet learned why they changed.
North Carolina,NC,2935,,249,194,1,,,8793,,1052,802,5,,,07/14/2020,
North Dakota,ND,613,1014,7,4,0,,,1687,2439,7,7,0,,,07/14/2020,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
Ohio,OH,,,866,719,5,,,16762,,5082,4215,82,,,07/14/2020,"After reviewing death certificates, Ohio later revised its number of confirmed deaths in several facilities including Chillicothe Correctional Institution, Belmont and Pickaway."
Oklahoma,OK,,,25,,0,,,,4101,11,8,0,,,07/14/2020,The number of tests conducted was mistakenly placed in the column for people tested. This has been updated.
Oregon,OR,,,85,46,0,,,,1651,314,162,1,,,07/14/2020,
Pennsylvania,PA,1002,,200,163,1,,,6757,,262,226,10,,,07/14/2020,The number of prisoner cases and tests were later revised to exclude those who tested positive while released on parole.
Rhode Island,RI,,,22,,0,,,,,21,,0,,,07/14/2020,Backfilled deaths based on info from Rhode Island on 11/4/20
South Carolina,SC,,,189,95,1,,,1171,,563,128,7,,,07/14/2020,
South Dakota,SD,64,,5,5,0,,,130,,4,4,0,,,07/13/2020,
Tennessee,TN,4865,4905,121,98,0,,,,23353,3186,3173,4,,,07/13/2020,The number we had originally been given for Tennessee's staff tests were total tests rather than unique people tested. We've now updated the number with new figures from the Department of Corrections.
Texas,TX,,41814,2160,1165,9,,,,137831,12071,7703,127,,,07/14/2020,We have revised this week's prisoner deaths totals based on data from the Texas Justice Initiative. Texas' testing numbers may include multiple tests of a single prisoner or staff member and have been moved to the _with_multiples column.
Utah,UT,,,4,4,0,,,,685,38,13,0,,,07/13/2020,The number of tests conducted was mistakenly placed in the column for the total number of people tested. This has been updated.
Vermont,VT,,1309,20,19,0,,,1413,2646,47,45,0,,,07/14/2020,
Virginia,VA,,,388,307,0,,,25352,,1530,1452,11,,,07/14/2020,The number of prisoners recovered dropped by one this week. We are inquiring as to why and will update when we can.
Washington,WA,,,104,,1,,,2937,,277,,2,,,07/14/2020,
West Virginia,WV,,4230,24,20,0,,,,5143,126,126,0,,,07/14/2020,"The number of staff tests dropped this week, because some tests in a previous week were thrown out and are no longer counted. Several have since been reconducted, but that's the lower number. Until early November, West Virginia’s Department of Corrections and Rehabilitation reported staff cases for juvenile facilities and jails combined with prisons and work release. After they began providing itemized numbers on staff cases on Nov. 3, we only included staff numbers from prisons and work release sites in our data releases. In our online tracker, we have gone back to the past weeks of data and estimated the staff breakdown based on the overall size of the staff for each sector."
Wisconsin,WI,,,92,70,0,,,,19371,291,280,0,,,07/14/2020,
Wyoming,WY,,,0,0,0,,,,352,0,0,0,,,07/14/2020,
Federal,US,,,887,629,1,,,29067,,8896,5407,99,,,07/14/2020,
Alabama,AL,,,184,100,2,,,490,,97,28,10,,,07/07/2020,
Alaska,AK,,,11,11,0,,,,1233,2,2,0,,,07/07/2020,
Arizona,AZ,,,303,182,,,,4092,,481,250,13,,,07/07/2020,
Arkansas,AR,2305,,242,184,1,,,7092,,2981,2295,14,,,07/07/2020,The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count.
California,CA,,,1119,456,2,,,47477,,5372,2904,29,,,07/07/2020,
Colorado,CO,,,54,54,0,,,4804,,631,626,3,,,07/07/2020,
Connecticut,CT,,,381,377,0,,,10114,,1343,1333,7,,,07/07/2020,The prisoner cases for this week were revised later after Connecticut identified some duplicates in the numbers.
Delaware,DE,910,,114,87,1,,,747,,270,141,7,,,07/08/2020,Delaware's total cases this week originally did not include deaths and has been adjusted accordingly.
Florida,FL,,,651,,0,,,,24879,2514,,26,,,07/07/2020,
Georgia,GA,,,252,168,1,,,,,730,467,23,,,07/07/2020,"For most weeks prior to Sept. 15, the prisoner cases and recoveries for Georgia inadvertently counted some cases in private prisons and county facilities twice. These figures have been corrected throughout."
Hawaii,HI,,,0,0,0,,,62,,0,0,0,,,07/07/2020,
Idaho,ID,,198,46,11,0,,,806,807,131,0,0,,,07/07/2020,"Staff tests don't include private CAPP facility or Eagle Pass, TX facility."
Illinois,IL,,,203,174,0,,,1100,,337,263,13,,,07/07/2020,
Indiana,IN,1264,,293,260,2,,,1955,,700,669,20,,,07/07/2020,"Staff tests and cases and prisoners tests and cases were later revised to exclude three juvenile facilities administered by the corrections department. Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,33,23,0,,,2722,,96,30,1,,,07/07/2020,
Kansas,KS,,,121,111,2,,,,2724,910,906,4,,,07/10/2020,Staff cases and prisoner tests were later revised to exclude a juvenile facility administered by the corrections department.
Kentucky,KY,,,72,,0,,,,,528,,2,,,07/07/2020,
Louisiana,LA,,,216,162,3,,,,,641,568,16,,,07/07/2020,
Maine,ME,,,1,1,0,,,1100,,4,4,0,,,07/07/2020,
Maryland,MD,,6413,448,352,1,,,18924,,620,366,8,,,07/06/2020,
Massachusetts,MA,,,192,167,0,,,8293,,417,379,8,,,07/08/2020,On Aug. 27 we changed our Massachusetts data source to the Massachusetts Supreme Judicial Court. The previous dataset from the Department of Corrections excluded prisoner releases and staff recoveries. All data beginning with April 22 onward has been updated to use SJC figures.
Michigan,MI,,,383,347,3,,,38344,,4020,3011,68,,,07/07/2020,
Minnesota,MN,,,61,,0,,,15043,,341,,2,,,07/07/2020,
Mississippi,MS,216,,52,,,,,280,,80,,1,,,07/07/2020,
Missouri,MO,,,70,24,0,,,14641,,193,45,1,,,07/07/2020,
Montana,MT,195,,3,3,0,,,723,,3,3,0,,,07/07/2020,The number of prisoner and staff cases and tests were later revised to exclude the Pine Hill juvenile facility.
Nebraska,NE,,,,,,,,894,,8,7,0,,,07/03/2020,
Nevada,NV,,2648,41,26,0,,,,12368,16,15,0,,,07/07/2020,
New Hampshire,NH,,,11,11,0,,,40,,1,1,0,,,07/07/2020,
New Jersey,NJ,,,781,762,,,,,,2869,,46,,,07/09/2020,
New Mexico,NM,4191,,22,5,0,,,6346,,461,244,3,,,07/07/2020,
New York,NY,,,1299,1254,5,,,2813,,541,496,16,,,07/07/2020,
North Carolina,NC,2831,,220,169,1,,,5958,,887,768,5,,,07/07/2020,
North Dakota,ND,580,725,4,4,0,,,1666,2367,7,6,0,,,07/07/2020,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
Ohio,OH,,,838,699,5,,,15553,,5055,,82,,,07/07/2020,"After reviewing death certificates, Ohio later revised its number of confirmed deaths in several facilities including Chillicothe Correctional Institution, Belmont and Pickaway."
Oklahoma,OK,,,17,,0,,,,3564,9,5,0,,,07/07/2020,The number of tests conducted was mistakenly placed in the column for people tested. This has been updated.
Oregon,OR,,,66,42,0,,,,1246,183,161,1,,,07/07/2020,
Pennsylvania,PA,937,,192,154,1,,,6291,,255,223,10,,,07/07/2020,The number of prisoner cases and tests were later revised to exclude those who tested positive while released on parole.
Rhode Island,RI,,,21,18,0,,,,,20,12,0,,,07/09/2020,The number of prisoners who tested positive includes 6 jail detainees who were later released.
South Carolina,SC,,,153,82,1,,,1003,,346,116,5,,,07/08/2020,
South Dakota,SD,64,,5,5,0,,,130,,4,4,0,,,07/07/2020,
Tennessee,TN,4865,4905,113,98,0,,,,23352,3184,3173,4,,,07/07/2020,The number we had originally been given for Tennessee's staff tests were total tests rather than unique people tested. We've now updated the number with new figures from the Department of Corrections.
Texas,TX,,38460,1782,999,9,,,,128796,9592,7376,121,,,07/07/2020,We have revised this week's prisoner deaths totals based on data from the Texas Justice Initiative. Texas' testing numbers may include multiple tests of a single prisoner or staff member and have been moved to the _with_multiples column.
Utah,UT,,,4,4,0,,,,546,30,13,0,,,07/06/2020,The number of tests conducted was mistakenly placed in the column for the total number of people tested. This has been updated.
Vermont,VT,,,20,19,0,,,1374,2250,47,45,0,,,07/07/2020,
Virginia,VA,,,369,293,0,,,25328,,1516,1453,11,,,07/07/2020,
Washington,WA,,,99,,1,,,,2533,255,,2,,,07/07/2020,
West Virginia,WV,,4248,16,15,0,,,,5133,126,126,0,,,07/07/2020,"We had an incorrect number of prisoner cases this week and are revising it to correct it. Until early November, West Virginia’s Department of Corrections and Rehabilitation reported staff cases for juvenile facilities and jails combined with prisons and work release. After they began providing itemized numbers on staff cases on Nov. 3, we only included staff numbers from prisons and work release sites in our data releases. In our online tracker, we have gone back to the past weeks of data and estimated the staff breakdown based on the overall size of the staff for each sector."
Wisconsin,WI,,,82,66,0,,,,17412,283,273,0,,,07/07/2020,
Wyoming,WY,23,,1,0,0,,,121,,0,0,0,,,07/06/2020,
Federal,US,,,794,603,1,,,25310,,7639,5369,98,,,07/07/2020,
Alabama,AL,,,166,84,1,,,329,,68,18,7,,,06/30/2020,
Alaska,AK,,,11,11,0,,,849,,2,2,0,,,07/01/2020,
Arizona,AZ,,,226,149,,,,3432,,421,218,9,,,06/30/2020,
Arkansas,AR,2203,,218,184,1,,,7037,,2487,1873,13,,,06/30/2020,The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count.
California,CA,,,847,370,2,,,40753,,4939,2226,22,,,06/30/2020,
Colorado,CO,,,53,51,0,,,4395,,630,625,3,,,06/30/2020,
Connecticut,CT,,,380,377,0,,,9504,,1342,1333,7,,,06/30/2020,
Delaware,DE,805,,95,85,1,,,306,,150,140,7,,,06/29/2020,
Florida,FL,,,453,,,,,,22771,2027,,24,,,06/30/2020,
Georgia,GA,,,223,156,1,,,,,711,452,22,,,06/30/2020,"For most weeks prior to Sept. 15, the prisoner cases and recoveries for Georgia inadvertently counted some cases in private prisons and county facilities twice. These figures have been corrected throughout."
Hawaii,HI,,,0,0,0,,,54,,0,0,0,,,06/30/2020,
Idaho,ID,,142,22,5,0,,,375,,9,0,0,,,06/30/2020,
Illinois,IL,,,195,170,0,,,1000,,322,235,13,,,06/30/2020,
Indiana,IN,1248,,293,259,2,,,1833,,698,665,20,,,06/30/2020,"Staff tests and cases and prisoners tests and cases were later revised to exclude three juvenile facilities administered by the corrections department. Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,23,18,0,,,,2290,35,30,0,,,06/29/2020,
Kansas,KS,,,115,111,2,,,,2724,910,897,4,,,07/01/2020,Staff cases and prisoner tests were later revised to exclude a juvenile facility administered by the corrections department.
Kentucky,KY,,,65,,0,,,,,432,,2,,,06/29/2020,
Louisiana,LA,,,193,152,3,,,,,627,559,16,,,06/30/2020,
Maine,ME,,,1,1,0,,,1061,,4,4,0,,,07/01/2020,
Maryland,MD,6168,,437,290,1,,,15909,,581,156,8,,,06/30/2020,The number of prisoner tests reported this week dropped dramatically and we're inquiring as to why.
